Year,Cpv,CountryFrom,CountryTo,EuroTotal
2009,44160000,AT,IT,8124660.88
2009,45120000,AT,IT,2288721.2
2009,45210000,AT,IT,195817.3
2009,45223210,AT,IT,1837516.46
2009,50421000,AT,IT,-180833.33
2009,66510000,AT,IT,-7531482.66
2009,66516000,AT,IT,-244723.94
2009,66516400,AT,IT,-229950
2009,72000000,AT,IT,382348.38
2009,76530000,AT,IT,850000
2009,42417200,AT,LI,-1248507.28
2009,45262800,AT,LI,-1061137.1
2009,30233310,AT,LT,-1498314.88
2009,34622400,AT,LT,-6796366
2009,38430000,AT,LT,-252045.01
2009,73000000,AT,LU,-217391.3
2009,45000000,AT,MK,-1241145.77
2009,71300000,AT,MK,-4716758.02
2009,73000000,AT,MK,-178
2009,18200000,AT,NL,-1055928
2009,35811300,AT,NL,-1348010
2009,42520000,AT,NL,12703499
2009,60210000,AT,NL,-22500000
2009,79313000,AT,NO,-128800
2009,30233310,AT,PL,-688857.57
2009,32354600,AT,PL,-543275.76
2009,34622100,AT,PL,-840000
2009,34946110,AT,PL,-390961.2
2009,34999100,AT,PL,-419751.36
2009,38433210,AT,PL,-190636.84
2009,73110000,AT,PL,-934060.45
2009,92312130,AT,PL,-47500
2009,92312140,AT,PL,-80150
2009,34962000,AT,PT,-392577
2009,31200000,AT,RO,-7019033.46
2009,33112340,AT,RO,-126814.26
2009,35321000,AT,RO,-332430
2009,38000000,AT,RO,-342544.53
2009,38433100,AT,RO,-457500.6
2009,38510000,AT,RO,-22244609.82
2009,45214200,AT,RO,-3050256.2
2009,45232420,AT,RO,-3495273.71
2009,71241000,AT,RO,-336092.83
2009,71242000,AT,RO,-53182.39
2009,72590000,AT,RO,-18830873.95
2009,79342310,AT,RO,-1370000
2009,80530000,AT,RO,-241000
2009,98113100,AT,RO,-849610
2009,34941200,AT,SE,-510533
2009,79400000,AT,SE,175100
2009,14700000,AT,SI,-376646.4
2009,34000000,AT,SI,-442720
2009,34144510,AT,SI,-511700
2009,35710000,AT,SI,-30843930
2009,35820000,AT,SI,-84950
2009,39296100,AT,SI,126200
2009,45200000,AT,SI,-54879440
2009,50300000,AT,SI,-208951.95
2009,73420000,AT,SI,-179000
2009,79400000,AT,SI,-472175
2009,37311300,AT,SK,-2235697.48
2009,44000000,AT,SK,154311
2009,50223000,AT,SK,-2770643
2009,72250000,AT,SK,-679970.42
2009,31170000,AT,UK,-1590342.78
2009,38000000,AT,UK,258548
2009,38433100,AT,UK,462500
2009,72600000,AT,UK,64000
2009,44160000,AT,UY,150430.17
2009,60400000,AU,DK,-89978781.12
2009,48422000,AU,IE,-443837
2009,34511100,AU,MT,-9600000
2009,60210000,AU,PT,-810000
2009,72224000,AU,UK,-396776.44
2009,35812200,BD,FR,-470100
2009,64212000,BD,UK,-168361.51
2009,09123000,BE,BG,33356508.94
2009,15000000,BE,BG,-626669.4
2009,33140000,BE,BG,-1077111.24
2009,39180000,BE,BG,158798.12
2009,50334400,BE,BG,-39447.8
2009,65100000,BE,BG,-135238.78
2009,66100000,BE,BG,-274829.19
2009,73110000,BE,BG,198940
2009,34113200,BE,CG,597414
2009,73300000,BE,CH,98169.42
2009,73000000,BE,CN,75000
2009,45000000,BE,CY,4677711
2009,72232000,BE,CY,10316132
2009,73210000,BE,CY,-88140
2009,42123100,BE,CZ,-23609075.14
2009,45310000,BE,CZ,655537.44
2009,48000000,BE,CZ,1125000
2009,03340000,BE,DE,-1702125
2009,18100000,BE,DE,517038.3
2009,18810000,BE,DE,6587624.79
2009,19000000,BE,DE,57034.61
2009,31221000,BE,DE,3768948
2009,31343000,BE,DE,108534714
2009,32412000,BE,DE,3017719
2009,33000000,BE,DE,-2000
2009,33111000,BE,DE,201887.2
2009,34114121,BE,DE,2019468
2009,34121100,BE,DE,-1190000
2009,34144210,BE,DE,329901.98
2009,34730000,BE,DE,568873
2009,37313900,BE,DE,75630.25
2009,38000000,BE,DE,399479
2009,38511100,BE,DE,189313
2009,42933300,BE,DE,1200000
2009,42990000,BE,DE,2530000
2009,44161100,BE,DE,14000000
2009,45212313,BE,DE,-592966.6
2009,45221000,BE,DE,52063.64
2009,45331000,BE,DE,937936
2009,45351000,BE,DE,-200000
2009,45421100,BE,DE,-19698.72
2009,50000000,BE,DE,247933.88
2009,50512000,BE,DE,21000000
2009,50640000,BE,DE,5012000
2009,71354100,BE,DE,4138517.77
2009,71620000,BE,DE,7022928.60
2009,73000000,BE,DE,2076250
2009,79931000,BE,DE,306780.6
2009,03340000,BE,DK,-40236051.50
2009,33000000,BE,DK,-2576820.93
2009,50210000,BE,DK,629472
2009,73220000,BE,DK,-1587409.69
2009,31300000,BE,ES,57198184
2009,34940000,BE,ES,1020520
2009,35300000,BE,ES,1109753
2009,35333100,BE,ES,177600
2009,71334000,BE,ES,-375347
2009,72400000,BE,ES,-500000
2009,32330000,BE,FI,-286080
2009,65100000,BE,FI,-703350
2009,03450000,BE,FR,-3865822.77
2009,03451300,BE,FR,-204000
2009,09200000,BE,FR,740138.57
2009,14310000,BE,FR,-345702
2009,14400000,BE,FR,-349.6
2009,16000000,BE,FR,341866
2009,18000000,BE,FR,-21739.13
2009,18110000,BE,FR,-21258.78
2009,18400000,BE,FR,-1900000
2009,24000000,BE,FR,18819057.65
2009,24951210,BE,FR,110675
2009,30213000,BE,FR,174738.6
2009,31300000,BE,FR,114396368
2009,32000000,BE,FR,413223.14
2009,32412100,BE,FR,43388429.75
2009,32530000,BE,FR,52939
2009,33111730,BE,FR,-13879641
2009,33122000,BE,FR,-250639.92
2009,33141000,BE,FR,-5339243.88
2009,33141300,BE,FR,-2270891.2
2009,33186000,BE,FR,-4082898.32
2009,33190000,BE,FR,-4616550
2009,33194220,BE,FR,-1420396
2009,33600000,BE,FR,-33860000.22
2009,33693000,BE,FR,-1302753.6
2009,33696200,BE,FR,-385164
2009,33696500,BE,FR,-109285277.63
2009,34000000,BE,FR,-926000
2009,34980000,BE,FR,317724
2009,34995000,BE,FR,-2000000
2009,34997210,BE,FR,-2000000
2009,35341000,BE,FR,-2100000
2009,38000000,BE,FR,2642424
2009,38221000,BE,FR,2144460
2009,38424000,BE,FR,-234546
2009,38433300,BE,FR,163280
2009,38500000,BE,FR,353111
2009,38600000,BE,FR,91710
2009,39000000,BE,FR,360880.98
2009,39236000,BE,FR,509866.32
2009,41000000,BE,FR,164550
2009,42000000,BE,FR,30684888.34
2009,42113120,BE,FR,-255315
2009,42320000,BE,FR,88000
2009,42400000,BE,FR,228104
2009,45112340,BE,FR,-618048.96
2009,45210000,BE,FR,-12451808
2009,45212300,BE,FR,2193471
2009,45231220,BE,FR,130620479
2009,45246200,BE,FR,-1180026.5
2009,45252124,BE,FR,-344504.1
2009,48000000,BE,FR,3011563.2
2009,50340000,BE,FR,-244969
2009,50640000,BE,FR,7535000
2009,50660000,BE,FR,160000
2009,50700000,BE,FR,103558.53
2009,60424120,BE,FR,-81550
